Rank,Title,Sales,Series,Platform(s),Initial release date,Developer(s),Publisher(s)
26,Pokémon Gold / Silver / Crystal,29490000,Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo
27,Duck Hunt,28300000,None,NES,"April 21, 1984",Nintendo R&D1,Nintendo
28,Wii Play,28020000,Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo
29,The Walking Dead,28000000,The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games
30,Grand Theft Auto: San Andreas,27500000,Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games
31,Super Mario World,26662500,Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo
32,Call of Duty: Modern Warfare 3,26500000,Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
33,Call of Duty: Black Ops,26200000,Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision
34,Borderlands 2,27000000,Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games
35,Pokémon Sword / Shield,25680000,Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company
36,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25410000,Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company
37,Super Mario Odyssey,25120000,Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo
38,Grand Theft Auto IV,25000000,Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games
39,Pokémon Diamond / Pearl / Platinum,24730000,Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company
40,Super Mario Bros. 3,24430000,Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo
41,Call of Duty: Black Ops II,24200000,Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision
42,FIFA 18,24000000,FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports
42,Kinect Adventures!,24000000,None,Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios
44,Sonic the Hedgehog,23982960,Sonic the Hedgehog,Multi-platform,"June 23, 1991",Sonic Team,Sega
45,Nintendogs,23960000,None,Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo
46,New Super Mario Bros. U / Luigi U / Deluxe,23640000,Super Mario,Wii U / Switch,"November 18, 2012",Nintendo EAD,Nintendo
47,Mario Kart DS,23600000,Mario Kart,Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo
48,Pokémon Ruby / Sapphire / Emerald,23280000,Pokémon,Game Boy Advance,"November 21, 2002",Game Freak,Nintendo / The Pokémon Company
49,God of War,23000000,God of War,PlayStation 4 / Windows,"April 20, 2018",Santa Monica Studio,Sony Interactive Entertainment
49,Red Dead Redemption,23000000,Red Dead,PS3 / Xbox 360,"May 18, 2010",Rockstar San Diego,Rockstar Games
